Group,Group_ScatterPlot,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source
All MAGs,LQ,14-1_9x24_sub.LR_stool,100,16.46,92.59,1665404,MetaFlye2 (LR),Stool
All MAGs,LQ,47-2_7x1.LR_stool,100,16.3,93.75,671585,MetaFlye2 (LR),Stool
All MAGs,LQ,47-2_37x54.LR_stool,100,15.86,92,356106,MetaFlye2 (LR),Stool
All MAGs,LQ,47-2_37x83.LR_stool,100,15.52,78.26,383490,MetaFlye2 (LR),Stool
All MAGs,LQ,19-1_12_DP_BAPcstx19-1_12_DP_BAPcst.003_sub.SR_plate,100,15.5,34.78,587328,MetaSPAdes (SR),Plate
All MAGs,LQ,C047-M00x12_sub.LR_stool,100,14.9,65.71,702736,MetaFlye2 (LR),Stool
All MAGs,LQ,08-1_11x08-1_early__08-1_11.010.LR_stool,100,14.32,40,2247847,MetaFlye2 (LR),Stool
All MAGs,LQ,29-2_N17x29-2_N17.005_sub.SR_stool,100,13.79,9.52,2192731,MetaSPAdes (SR),Stool
All MAGs,LQ,40-1_93xbin.84.SR_stool,100,13.79,4.76,457809,MetaSPAdes (SR),Stool
All MAGs,LQ,43-1_54_LKVx68.SR_plate,100,13.79,68.18,274672,MetaSPAdes (SR),Plate
All MAGs,LQ,C019-M00x39.LR_stool,100,13.79,3.03,3166792,MetaFlye2 (LR),Stool
All MAGs,LQ,C019-M07xC019__C019-M07.002_sub.LR_stool,100,13.79,3.03,3166720,MetaFlye2 (LR),Stool
All MAGs,LQ,C019-M38xC019__C019-M38.018_sub.LR_stool,100,13.79,6.06,3166838,MetaFlye2 (LR),Stool
All MAGs,LQ,C019-M22x76.LR_stool,100,13.64,3.12,3166749,MetaFlye2 (LR),Stool
All MAGs,LQ,47-2_7_stoolx47-2_7_stool.001.SR_stool,100,12.61,57.69,2013095,MetaSPAdes (SR),Stool
All MAGs,LQ,C020-M00xC020-M00.022.SR_stool,100,12.6,0,1578659,MetaSPAdes (SR),Stool
All MAGs,LQ,20-2_12x66_sub.SR_stool,100,12.46,32.65,37973,MetaSPAdes (SR),Stool
All MAGs,LQ,39-2_8x21_sub.LR_stool,100,12.44,96.36,2348236,MetaFlye2 (LR),Stool
All MAGs,LQ,20-2_13_LKVx51_sub.SR_plate,100,11.29,65.38,211284,MetaSPAdes (SR),Plate
All MAGs,LQ,14-2_14x5.LR_stool,100,11.21,100,2016346,MetaFlye2 (LR),Stool
All MAGs,LQ,14-2_36x14-2_late__14-2_36.014.LR_stool,100,11.21,100,2016055,MetaFlye2 (LR),Stool
All MAGs,LQ,47-2_17x48.LR_stool,100,11.02,93.33,356159,MetaFlye2 (LR),Stool
All MAGs,LQ,14-2_9x14-2_early__14-2_9.001_sub.LR_stool,100,10.89,0,1346737,MetaFlye2 (LR),Stool
All MAGs,LQ,19-2_95x59_sub.LR_stool,100,10.6,55.07,455336,MetaFlye2 (LR),Stool
All MAGs,LQ,C040-M06xC040_FIXED__C040-M06.004_sub.LR_stool,100,10.31,27.27,592778,MetaFlye2 (LR),Stool
All MAGs,LQ,C039-M06_stoolxC039-M06_stool.014.SR_stool,100,10.18,0,988816,MetaSPAdes (SR),Stool
All MAGs,MQ,40-2_94_CMBcst_WCx21.SR_plate,100,9.56,68.18,379958,MetaSPAdes (SR),Plate
All MAGs,MQ,39-2_14x39-2_late__39-2_14.011.LR_stool,100,9.18,88.24,960537,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_64x20-2_64_LKV_20-2_64_LKV.001.LR_plate,100,9.09,100,3592438,MetaFlye2 (LR),Plate
All MAGs,MQ,29-2_10x29-2_10.010_sub.SR_stool,100,8.49,0,278935,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_36x39-2_late__39-2_36.013_sub.LR_stool,100,8.48,0,1929196,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_14_DP_LKVx20-2_14_DP_LKV.001.SR_plate,100,8.23,94.44,461450,MetaSPAdes (SR),Plate
All MAGs,MQ,40-1_35_stoolxbin.57_sub.SR_stool,100,8.16,0,74404,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_8_DP_BAPcstxbin.4.SR_plate,100,7.83,41.38,284932,MetaSPAdes (SR),Plate
All MAGs,MQ,43-1_14x36.LR_stool,100,7.81,41.18,2632635,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_54x34.LR_stool,100,7.81,41.18,2650105,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_12xbin.5_sub.LR_stool,100,7.72,82.14,762581,MetaFlye2 (LR),Stool
All MAGs,MQ,39-1_8x39-1_8.002.SR_stool,100,7.37,65.79,2424708,MetaSPAdes (SR),Stool
All MAGs,MQ,40-2_35_stoolx40-2_35_stool.019_sub.SR_stool,100,7.31,0,44151,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_11xbin.1_sub.LR_stool,100,7.26,77.78,762707,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_7xbin.9.LR_stool,100,7.26,77.78,762688,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_8xbin.2_sub.LR_stool,100,7.26,77.78,762694,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_10xbin.4.LR_stool,100,7.1,76.92,762692,MetaFlye2 (LR),Stool
All MAGs,MQ,14-1_36_LKVx88.SR_plate,100,7.08,77.78,167943,MetaSPAdes (SR),Plate
All MAGs,MQ,40-2_13x12.LR_stool,100,7.07,97.44,410104,MetaFlye2 (LR),Stool
All MAGs,MQ,8-2_11_DP_BAPcstx32.SR_plate,100,7.04,0,73148,MetaSPAdes (SR),Plate
All MAGs,MQ,19-2_95x20.SR_stool,100,7.02,25,169000,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_94x34.LR_stool,100,6.94,5.56,1928936,MetaFlye2 (LR),Stool
All MAGs,MQ,40-2_13xbin.50_sub.SR_stool,100,6.87,0,72717,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_81xbin.47.LR_stool,100,6.85,0,742885,MetaFlye2 (LR),Stool
All MAGs,MQ,29-2_14x29-2_14.005_sub.SR_stool,100,6.8,0,330658,MetaSPAdes (SR),Stool
All MAGs,MQ,C029-M36x29.LR_stool,100,6.7,16.13,2230061,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_16x43-1_late__43-1_16.003.LR_stool,100,6.54,15.38,2632684,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_73x43-1_late__43-1_73.007.LR_stool,100,6.54,15.38,2644563,MetaFlye2 (LR),Stool
All MAGs,MQ,C029-M06xC029_FIXED__C029-M06.010.LR_stool,100,6.53,18.18,2230023,MetaFlye2 (LR),Stool
All MAGs,MQ,14-2_6_BAPx14-2_6_BAP.001.SR_plate,100,6.37,100,1252795,MetaSPAdes (SR),Plate
All MAGs,MQ,C029-M00x37_sub.LR_stool,100,6.25,20,2230009,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_16_stoolx43-1_16_stool.002.SR_stool,100,6.22,0,783782,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_34x43-1_late__43-1_34.008.LR_stool,100,5.91,16.67,2645788,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_40x43-1_late__43-1_40.022.LR_stool,100,5.91,16.67,2650785,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_46x43-1_late__43-1_46.007.LR_stool,100,5.91,16.67,2650527,MetaFlye2 (LR),Stool
All MAGs,MQ,C029-M24x41.LR_stool,100,5.8,20.69,2230030,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_10x43-1_early__43-1_10.002_sub.LR_stool,100,5.77,33.33,1010389,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_12x43-1_early__43-1_12.002.LR_stool,100,5.77,33.33,1010488,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_11xbin.15_sub.LR_stool,100,5.68,30.43,1010558,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_14x43-1_14.003.SR_stool,100,5.27,0,784555,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_46x43-1_46.004.SR_stool,100,5.27,0,730954,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_66x43-1_66.016.SR_stool,100,5.27,0,338135,MetaSPAdes (SR),Stool
All MAGs,MQ,43-1_10x43-1_early__43-1_10.005.LR_stool,100,5.24,0,2371056,MetaFlye2 (LR),Stool
All MAGs,MQ,19-2_95xbin.43.SR_stool,100,5.23,34.62,640370,MetaSPAdes (SR),Stool
All MAGs,MQ,47-2_88x77.SR_stool,100,5.2,35,1420449,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_11x39-2_early__39-2_11.009.LR_stool,100,5.15,15.79,3157438,MetaFlye2 (LR),Stool
All MAGs,MQ,29-1_6_stoolxbin.7.SR_stool,100,5.07,42.31,2434856,MetaSPAdes (SR),Stool
All MAGs,MQ,40-1_9x40-1_9.002_sub.SR_stool,100,5.07,42.86,2267746,MetaSPAdes (SR),Stool
All MAGs,MQ,47-1_10xbin.17.LR_stool,100,4.84,71.43,272611,MetaFlye2 (LR),Stool
All MAGs,MQ,47-1_13x47-1_early__47-1_13.026.LR_stool,100,4.74,75,674526,MetaFlye2 (LR),Stool
All MAGs,HQ,39-1_94x39-1_94.045.SR_stool,100,4.72,0,396917,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_10x39-2_early__39-2_10.006.LR_stool,100,4.69,16.67,3157434,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_40x43-1_40.029.SR_stool,100,4.64,0,457899,MetaSPAdes (SR),Stool
All MAGs,MQ,40-1_35x40-1_late__40-1_35.007_sub.LR_stool,100,4.55,100,1110740,MetaFlye2 (LR),Stool
All MAGs,HQ,17-1_6_stoolx17-1_6_stool.007.SR_stool,100,4.53,0,1568909,MetaSPAdes (SR),Stool
All MAGs,MQ,C029-M24x25.LR_stool,100,4.49,80.95,1463683,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_8xbin.18_sub.SR_stool,100,4.49,42.11,1876957,MetaSPAdes (SR),Stool
All MAGs,MQ,C043-M07_stoolxC043-M07_stool.012.SR_stool,100,4.49,9.09,414107,MetaSPAdes (SR),Stool
All MAGs,MQ,47-2_13x47-2_early__47-2_13.013.LR_stool,100,4.38,86.36,2483331,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_8x24.LR_stool,100,4.34,6.25,3157455,MetaFlye2 (LR),Stool
All MAGs,HQ,29-1_10x29-1_10.008.SR_stool,100,4.23,0,337469,MetaSPAdes (SR),Stool
All MAGs,MQ,19-1_12x22_sub.LR_stool,100,4.15,92,2456255,MetaFlye2 (LR),Stool
All MAGs,MQ,C017-M00x31.LR_stool,100,4.08,42.86,578667,MetaFlye2 (LR),Stool
All MAGs,HQ,C047-M07_BAPx8.SR_plate,100,4.03,0,652526,MetaSPAdes (SR),Plate
All MAGs,MQ,C029-M06x24.LR_stool,100,4.03,85,1463728,MetaFlye2 (LR),Stool
All MAGs,MQ,C029-M06xC029-M06.031_sub.SR_stool,100,4.03,8.33,63380,MetaSPAdes (SR),Stool
All MAGs,MQ,C043-M07x0_sub.LR_stool,100,3.83,92.86,1272696,MetaFlye2 (LR),Stool
All MAGs,HQ,C008-M06_BAPxC008-M06_BAP.006.SR_plate,100,3.77,0,340284,MetaSPAdes (SR),Plate
All MAGs,MQ,08-1_6x31.LR_stool,100,3.77,100,580247,MetaFlye2 (LR),Stool
All MAGs,MQ,08-2_9x33.LR_stool,100,3.77,100,1008262,MetaFlye2 (LR),Stool
All MAGs,MQ,08-2_N6x19.LR_stool,100,3.77,100,1008194,MetaFlye2 (LR),Stool
All MAGs,MQ,C039-M06xC039_FIXED__C039-M06.018.LR_stool,100,3.74,11.11,2462242,MetaFlye2 (LR),Stool
All MAGs,MQ,47-2_10xbin.56.LR_stool,100,3.69,100,2483397,MetaFlye2 (LR),Stool
All MAGs,MQ,47-2_7x17.LR_stool,100,3.69,100,2483434,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_11x43-1_early__43-1_11.007.LR_stool,100,3.63,0,2371055,MetaFlye2 (LR),Stool
All MAGs,MQ,C040-M36xC040_FIXED__C040-M36.003.LR_stool,100,3.6,64.71,1263635,MetaFlye2 (LR),Stool
All MAGs,HQ,08-2_9x08-2_early__08-2_9.016.LR_stool,100,3.54,0,391861,MetaFlye2 (LR),Stool
All MAGs,MQ,17-2_N11_WCxbin.4.SR_plate,100,3.49,81.82,86131,MetaSPAdes (SR),Plate
All MAGs,HQ,29-1_47x29-1_late__29-1_47.009.LR_stool,100,3.43,0,2080888,MetaFlye2 (LR),Stool
All MAGs,HQ,43-2_12x43-2_early__43-2_12.015.LR_stool,100,3.43,0,1889959,MetaFlye2 (LR),Stool
All MAGs,MQ,43-1_14xbin.48.SR_stool,100,3.36,10,112257,MetaSPAdes (SR),Stool
All MAGs,HQ,43-2_36_stoolx43-2_36_stool.005.SR_stool,100,3.23,0,1765955,MetaSPAdes (SR),Stool
All MAGs,HQ,47-2_10x47-2_early__47-2_10.005.LR_stool,100,3.23,0,2445888,MetaFlye2 (LR),Stool
All MAGs,MQ,14-1_36_stoolx39.SR_stool,100,3.23,83.33,1420209,MetaSPAdes (SR),Stool
All MAGs,MQ,C039-M36_stoolx36.SR_stool,100,3.23,83.33,908553,MetaSPAdes (SR),Stool
All MAGs,MQ,19-2_10_CMBcst_WCx1.SR_plate,100,3.07,39.13,2328585,MetaSPAdes (SR),Plate
All MAGs,HQ,29-1_95xbin.91.SR_stool,100,3.04,0,935314,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_13x9.LR_stool,100,2.99,100,428726,MetaFlye2 (LR),Stool
All MAGs,HQ,29-1_33_BAPx29-1_33_BAP.015.SR_plate,100,2.96,0,115519,MetaSPAdes (SR),Plate
All MAGs,MQ,47-2_10_CMBcstx47-2_10_CMBcst_WC_47-2_10_WC.001.LR_plate,100,2.95,88.89,2081719,MetaFlye2 (LR),Plate
All MAGs,HQ,47-1_7_stoolx47-1_7_stool.016_sub.SR_stool,100,2.89,0,514102,MetaSPAdes (SR),Stool
All MAGs,HQ,47-1_17x24.LR_stool,100,2.85,0,618280,MetaFlye2 (LR),Stool
All MAGs,HQ,39-2_7x18.LR_stool,100,2.84,0,3157440,MetaFlye2 (LR),Stool
All MAGs,HQ,C008-M00_stoolxC008-M00_stool.030.SR_stool,100,2.83,0,96671,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_N7x39-2_N7.010.SR_stool,100,2.83,40,916680,MetaSPAdes (SR),Stool
All MAGs,MQ,14-1_N14_stoolx14-1_N14_stool.019.SR_stool,100,2.83,40,107269,MetaSPAdes (SR),Stool
All MAGs,MQ,C029-M36x45.LR_stool,100,2.82,50,2375097,MetaFlye2 (LR),Stool
All MAGs,HQ,C017-M00xC017-M00.028.SR_stool,100,2.81,0,461327,MetaSPAdes (SR),Stool
All MAGs,MQ,29-2_95xbin.5.SR_stool,100,2.8,22.22,1628405,MetaSPAdes (SR),Stool
All MAGs,HQ,39-2_88_LKVx9.SR_plate,100,2.78,0,12607,MetaSPAdes (SR),Plate
All MAGs,MQ,29-1_76_BAPx29-1_76_BAP.001.SR_plate,100,2.78,31.25,428269,MetaSPAdes (SR),Plate
All MAGs,HQ,40-1_6x40-1_6_LKV_40-1_6_LKV.002.LR_plate,100,2.73,0,4200502,MetaFlye2 (LR),Plate
All MAGs,MQ,20-1_8x14.LR_stool,100,2.73,28.57,2294064,MetaFlye2 (LR),Stool
All MAGs,HQ,20-1_5x20-1_early__20-1_5.007.LR_stool,100,2.69,0,2112027,MetaFlye2 (LR),Stool
All MAGs,MQ,C029-M00xbin.22.LR_stool,100,2.65,100,1463601,MetaFlye2 (LR),Stool
All MAGs,MQ,17-1_6_BAPx17-1_6_BAP.001.SR_plate,100,2.62,100,1957089,MetaSPAdes (SR),Plate
All MAGs,HQ,43-1_81x43-1_81.011.SR_stool,100,2.57,0,620160,MetaSPAdes (SR),Stool
All MAGs,MQ,C043-M01xC043_FIXED__C043-M01.008.LR_stool,100,2.53,20,2388710,MetaFlye2 (LR),Stool
All MAGs,MQ,29-1_42xbin.1.LR_plate,100,2.52,100,195533,MetaFlye2 (LR),Plate
All MAGs,MQ,14-1_95x8.LR_plate,100,2.5,45.45,1722287,MetaFlye2 (LR),Plate
All MAGs,HQ,43-2_7_stoolx28.SR_stool,100,2.43,0,55632,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_53x29-1_53.025.SR_stool,100,2.42,0,2339431,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_46_BAPx24.SR_plate,100,2.42,0,111869,MetaSPAdes (SR),Plate
All MAGs,HQ,47-2_10x47-2_10.005.SR_stool,100,2.42,0,2536515,MetaSPAdes (SR),Stool
All MAGs,MQ,40-2_10x40-2_10.008.SR_stool,100,2.42,33.33,2230549,MetaSPAdes (SR),Stool
All MAGs,MQ,29-1_20_WCx29-1_20_WC.002.SR_plate,100,2.42,20,619837,MetaSPAdes (SR),Plate
All MAGs,HQ,20-1_8x20-1_early__20-1_8.007.LR_stool,100,2.4,0,2112002,MetaFlye2 (LR),Stool
All MAGs,HQ,29-1_67x29-1_67.030.SR_stool,100,2.4,0,105841,MetaSPAdes (SR),Stool
All MAGs,MQ,19-2_12x62_sub.SR_stool,100,2.35,30,2219226,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_3_stoolx10.SR_stool,100,2.3,100,2404358,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_3x39-2_early__39-2_3.001.LR_stool,100,2.3,100,2348277,MetaFlye2 (LR),Stool
All MAGs,HQ,C014-M36x24.LR_stool,100,2.25,0,2460516,MetaFlye2 (LR),Stool
All MAGs,HQ,39-2_66x39-2_66.008.SR_stool,100,2.22,0,1789412,MetaSPAdes (SR),Stool
All MAGs,MQ,29-1_95xbin.39.SR_stool,100,2.21,75,149978,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_97xbin.18.LR_stool,100,2.19,77.78,402133,MetaFlye2 (LR),Stool
All MAGs,HQ,C020-M24_BAPxC020-M24_BAP.002.SR_plate,100,2.15,0,479422,MetaSPAdes (SR),Plate
All MAGs,MQ,40-1_35x77.LR_stool,100,2.15,25,2388635,MetaFlye2 (LR),Stool
All MAGs,HQ,43-1_34_BAPx33.SR_plate,100,2.1,0,590581,MetaSPAdes (SR),Plate
All MAGs,HQ,C014-M06x34.LR_stool,100,2.1,0,2459986,MetaFlye2 (LR),Stool
All MAGs,MQ,29-1_47_WCx11.SR_plate,100,2.07,50,2616469,MetaSPAdes (SR),Plate
All MAGs,MQ,20-1_11x26.LR_stool,100,2.05,40,2294085,MetaFlye2 (LR),Stool
All MAGs,MQ,17-2_99xbin.50.LR_stool,100,2.04,100,366612,MetaFlye2 (LR),Stool
All MAGs,MQ,20-2_76_WCx20-2_76_WC.004_sub.SR_plate,100,2.04,100,2034143,MetaSPAdes (SR),Plate
All MAGs,MQ,08-1_36_stoolxbin.27.SR_stool,100,2.04,25,139002,MetaSPAdes (SR),Stool
All MAGs,MQ,39-2_13x39-2_early__39-2_13.004.LR_stool,100,2.02,50,2499065,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_7xbin.8.LR_stool,100,2.02,50,2553423,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_11x34_sub.LR_stool,100,2.02,25,2551493,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_11x39-2_early__39-2_11.003.LR_stool,100,1.96,90,2348151,MetaFlye2 (LR),Stool
All MAGs,MQ,40-1_93x40-1_93.034.SR_stool,100,1.96,20,390340,MetaSPAdes (SR),Stool
All MAGs,MQ,C008-M06xC008-M06.027_sub.SR_stool,100,1.93,33.33,92740,MetaSPAdes (SR),Stool
All MAGs,MQ,17-2_16_stoolxbin.55.SR_stool,100,1.9,100,49601,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_13_stoolx60.SR_stool,100,1.9,33.33,229942,MetaSPAdes (SR),Stool
All MAGs,MQ,40-2_13x40-2_early__40-2_13.015.LR_stool,100,1.9,33.33,2514432,MetaFlye2 (LR),Stool
All MAGs,HQ,19-1_12x19-1_12.008.SR_stool,100,1.89,0,3539971,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_14x30.SR_stool,100,1.89,0,193566,MetaSPAdes (SR),Stool
All MAGs,HQ,29-1_N17xbin.14.SR_stool,100,1.89,0,244457,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_7x43-1_early__43-1_7.019.LR_stool,100,1.89,0,2231803,MetaFlye2 (LR),Stool
All MAGs,HQ,19-1_35_LKVx59.SR_plate,100,1.89,0,391264,MetaSPAdes (SR),Plate
All MAGs,MQ,43-1_N11x43-1_N11.025.SR_stool,100,1.89,100,516652,MetaSPAdes (SR),Stool
All MAGs,MQ,17-1_16_stoolx17-1_16_stool.028_sub.SR_stool,100,1.89,66.67,168284,MetaSPAdes (SR),Stool
All MAGs,MQ,29-1_47x29-1_47_WC_29-1_47_WC.001_sub.LR_plate,100,1.89,62.5,771522,MetaFlye2 (LR),Plate
All MAGs,MQ,29-1_76x29-1_76.002.SR_stool,100,1.89,42.86,654813,MetaSPAdes (SR),Stool
All MAGs,MQ,14-2_11_stoolx14-2_11_stool.016.SR_stool,100,1.89,33.33,1149583,MetaSPAdes (SR),Stool
All MAGs,MQ,40-1_93x40-1_late__40-1_93.033.LR_stool,100,1.88,33.33,2388607,MetaFlye2 (LR),Stool
All MAGs,MQ,08-1_6x08-1_early__08-1_6.001.LR_stool,100,1.84,100,2381840,MetaFlye2 (LR),Stool
All MAGs,MQ,08-1_9x46.LR_stool,100,1.84,100,2381840,MetaFlye2 (LR),Stool
All MAGs,MQ,39-2_13x39-2_early__39-2_13.007.LR_stool,100,1.84,100,2343392,MetaFlye2 (LR),Stool
All MAGs,MQ,40-2_35xbin.22.LR_stool,100,1.84,78.95,2512571,MetaFlye2 (LR),Stool
All MAGs,MQ,29-1_42x29-1_42.016.SR_stool,100,1.82,12.5,854679,MetaSPAdes (SR),Stool
All MAGs,HQ,43-1_81_BAPxbin.4.SR_plate,100,1.8,0,139281,MetaSPAdes (SR),Plate
All MAGs,MQ,8-2_11_CMBcst_WCx8-2_11_CMBcst_WC.002_sub.SR_plate,100,1.77,25,1405241,MetaSPAdes (SR),Plate
All MAGs,HQ,43-1_34x43-1_34.027.SR_stool,100,1.76,0,508208,MetaSPAdes (SR),Stool
All MAGs,MQ,19-2_10x19-2_10.001.SR_stool,100,1.74,10,2219207,MetaSPAdes (SR),Stool
All MAGs,HQ,C017-M23_stoolx144.SR_stool,100,1.73,0,673055,MetaSPAdes (SR),Stool
All MAGs,MQ,29-2_14x29-2_14.006.SR_stool,100,1.73,33.33,2303174,MetaSPAdes (SR),Stool
All MAGs,HQ,47-1_10x47-1_early__47-1_10.015.LR_stool,100,1.7,0,2363512,MetaFlye2 (LR),Stool
