MAG,Individual,LoPthruTP2,Aggregate_Adjusted_popSNP_Count,Taxa,PersistingMAG_ct,Unique_DataPoint_ct,TP1,First_Recorded_TP,LastMOL_lqfood,First_recorded_TP_Weaning,TP2_Weaning,Group,Initial_Colonization
43-2_8xbin.10_sub.LR_stool.fasta,43-2,0.416666667,15.2978499,[Ruminococcus] gnavus,13,34,12,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_7x12.LR_stool.fasta,43-1,0.333333333,17.63339896,[Ruminococcus] gnavus,13,34,11,7,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_N6x08-2_N6.016.SR_stool.fasta,2-Aug,0,0,Acutalibacteraceae bacterium,13,33,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_7x27.LR_stool.fasta,39-2,0,0,Acutalibacteraceae bacterium,13,33,7,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_13x5.SR_stool.fasta,40-2,0,0,Acutalibacteraceae bacterium,13,33,10,10,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-1_15x40-1_15.015.SR_stool.fasta,40-1,0,0,Acutalibacteraceae bacterium,13,33,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_N6x08-2_N6.016.SR_stool.fasta,2-Aug,0.25,0,Acutalibacteraceae bacterium,13,33,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_13x5.SR_stool.fasta,40-2,0.25,1.058347684,Acutalibacteraceae bacterium,13,33,13,10,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_2x4.LR_stool.fasta,43-1,0,0,Akkermansia muciniphila,7,22,2,2,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_8x39-2_early__39-2_8.007_sub.LR_stool.fasta,39-2,0,0,Akkermansia muciniphila,7,22,7,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_10x47-1_early__47-1_10.014.LR_stool.fasta,47-1,0,0,Akkermansia muciniphila,7,22,10,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_36_stoolx14-1_36_stool.023.SR_stool.fasta,14-1,0,0,Akkermansia muciniphila,7,22,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_11_stoolx14-2_11_stool.012_sub.SR_stool.fasta,14-2,0,0,Akkermansia muciniphila,7,22,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_13_stoolx17-1_13_stool.014_sub.SR_stool.fasta,17-1,0,0,Akkermansia muciniphila,7,22,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_8x39-2_early__39-2_8.007_sub.LR_stool.fasta,39-2,0.083333333,0,Akkermansia muciniphila,7,22,8,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_2x4.LR_stool.fasta,43-1,0.75,0,Akkermansia muciniphila,7,22,11,2,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_10_DPxbin.5.LR_plate.fasta,47-2,0,0,Alistipes onderdonkii,7,20,10,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_10_DPxbin.5.LR_plate.fasta,47-2,0.25,0,Alistipes onderdonkii,7,20,13,10,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_10x17-1_early__17-1_10.020.LR_stool.fasta,17-1,0,0,Alistipes putredinis,6,19,10,10,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_10x17-1_early__17-1_10.020.LR_stool.fasta,17-1,0.25,0,Alistipes putredinis,6,19,13,10,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_7_stoolx48.SR_stool.fasta,43-1,0,0,Anaerostipes caccae,10,22,1,1,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_N7x36.SR_stool.fasta,39-2,0,0,Anaerostipes caccae,10,22,3,3,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_N10_stoolx29.SR_stool.fasta,17-1,0,0,Anaerostipes caccae,10,22,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_10x94.SR_stool.fasta,40-2,0,0,Anaerostipes caccae,10,22,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_11x14-2_early__14-2_11.012.LR_stool.fasta,14-2,0,0,Anaerostipes caccae,10,22,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_N14_stoolxbin.32.SR_stool.fasta,14-1,0,0,Anaerostipes caccae,10,22,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_11xbin.39.LR_stool.fasta,17-2,0,0,Anaerostipes caccae,10,22,11,11,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x29-1_12.010_sub.SR_stool.fasta,29-1,0,0,Anaerostipes caccae,10,22,11,11,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-1_12xbin.31.SR_stool.fasta,19-1,0,0,Anaerostipes caccae,10,22,12,12,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-2_N16x37.SR_stool.fasta,19-2,0,0,Anaerostipes caccae,10,22,12,12,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_7_stoolx48.SR_stool.fasta,43-1,0.083333333,0,Anaerostipes caccae,10,22,2,1,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_12x29-1_12.010_sub.SR_stool.fasta,29-1,0.083333333,0,Anaerostipes caccae,10,22,12,11,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_N7x36.SR_stool.fasta,39-2,0.333333333,0,Anaerostipes caccae,10,22,7,3,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
39-2_N7x36.SR_stool.fasta,39-2,0.416666667,0,Anaerostipes caccae,10,22,8,3,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_11xbin.39.LR_stool.fasta,17-2,0.166666667,1.000282158,Anaerostipes caccae,10,22,13,11,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_10x94.SR_stool.fasta,40-2,0.333333333,1.003466675,Anaerostipes caccae,10,22,10,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_11x14-2_early__14-2_11.012.LR_stool.fasta,14-2,0.166666667,2.046286298,Anaerostipes caccae,10,22,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_7_stoolx48.SR_stool.fasta,43-1,0.5,7.126381519,Anaerostipes caccae,10,22,7,1,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_N10_stoolx29.SR_stool.fasta,17-1,0.333333333,9.286273907,Anaerostipes caccae,10,22,10,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_N15x59.SR_stool.fasta,43-2,0,0,Anaerostipes hadrus,10,39,7,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_7x47-1_early__47-1_7.008.LR_stool.fasta,47-1,0,0,Anaerostipes hadrus,10,39,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_13x41.LR_stool.fasta,47-2,0,0,Anaerostipes hadrus,10,39,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_90xbin.32.LR_stool.fasta,43-1,0,0,Anaerostipes hadrus,10,39,8,8,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_9x08-1_early__08-1_9.005.LR_stool.fasta,1-Aug,0,0,Anaerostipes hadrus,10,39,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_16x65.SR_stool.fasta,40-2,0,0,Anaerostipes hadrus,10,39,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_N15x59.SR_stool.fasta,43-2,0.083333333,0,Anaerostipes hadrus,10,39,8,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_N15x59.SR_stool.fasta,43-2,0.416666667,0,Anaerostipes hadrus,10,39,12,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_13x41.LR_stool.fasta,47-2,0.25,2.00564812,Anaerostipes hadrus,10,39,10,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_7x47-1_early__47-1_7.008.LR_stool.fasta,47-1,0.25,4.024987246,Anaerostipes hadrus,10,39,10,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_9x08-1_early__08-1_9.005.LR_stool.fasta,1-Aug,0.166666667,7.00418383,Anaerostipes hadrus,10,39,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,1-Aug,0,0,Bacteroides caccae,6,25,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,14-2,0,0,Bacteroides caccae,6,25,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_11x14-1_early__14-1_11.009_sub.LR_stool.fasta,14-1,0,0,Bacteroides caccae,6,25,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_11xbin.19_sub.SR_stool.fasta,2-Aug,0,0,Bacteroides caccae,6,25,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_11x14-1_early__14-1_11.009_sub.LR_stool.fasta,14-1,0.166666667,3.075970381,Bacteroides caccae,6,25,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_36_stoolx08-1_36_stool.036_sub.SR_stool.fasta,1-Aug,0.416666667,22.62733369,Bacteroides caccae,6,25,11,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,14-2,0.25,26.15559721,Bacteroides caccae,6,25,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,14-2,0.416666667,41.77295318,Bacteroides caccae,6,25,11,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_6_LKVx8.SR_plate.fasta,1-Aug,0,0,Bacteroides fragilis,10,48,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,2-Aug,0,0,Bacteroides fragilis,10,48,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_10_DPx7.LR_plate.fasta,47-2,0,0,Bacteroides fragilis,10,48,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,2-Aug,0.416666667,1.001409138,Bacteroides fragilis,10,48,11,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_10_DPx7.LR_plate.fasta,47-2,0.25,4.197543032,Bacteroides fragilis,10,48,10,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_6_LKVx8.SR_plate.fasta,1-Aug,0.25,4.507022434,Bacteroides fragilis,10,48,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-1_6_LKVx8.SR_plate.fasta,1-Aug,0.416666667,8.516891225,Bacteroides fragilis,10,48,11,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-1_N9_DP_LKVxbin.8.SR_plate.fasta,1-Aug,0,0,Bacteroides ovatus,6,30,9,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_11x08-2_11.019_sub.SR_stool.fasta,2-Aug,0,0,Bacteroides ovatus,6,30,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-1_14x20-1_14.025_sub.SR_stool.fasta,20-1,0,0,Bacteroides ovatus,6,30,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-1_N9_DP_LKVxbin.8.SR_plate.fasta,1-Aug,0.166666667,3.060561191,Bacteroides ovatus,6,30,11,9,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-1_11_DP_LKVx8-1_11_DP_LKV.002.SR_plate.fasta,1-Aug,0,0,Bacteroides thetaiotaomicron,9,31,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
08-2_N6_LKVx08-2_N6_LKV.002.SR_plate.fasta,2-Aug,0,0,Bacteroides thetaiotaomicron,9,31,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_13_LKVx17-1_13_LKV.001.SR_plate.fasta,17-1,0,0,Bacteroides thetaiotaomicron,9,31,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_6_LKVx17-2_6_LKV.001.SR_plate.fasta,17-2,0,0,Bacteroides thetaiotaomicron,9,31,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_11_DP_LKVx20-2_11_DP_LKV.001.SR_plate.fasta,20-2,0,0,Bacteroides thetaiotaomicron,9,31,11,11,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_36xbin.27.LR_stool.fasta,17-2,0,0,Bacteroides thetaiotaomicron,9,31,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_6_LKVx17-2_6_LKV.001.SR_plate.fasta,17-2,0.416666667,0,Bacteroides thetaiotaomicron,9,31,11,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
8-1_11_DP_LKVx8-1_11_DP_LKV.002.SR_plate.fasta,1-Aug,0.25,3.22696464,Bacteroides thetaiotaomicron,9,31,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_13_LKVx17-1_13_LKV.001.SR_plate.fasta,17-1,0.333333333,17.26728661,Bacteroides thetaiotaomicron,9,31,10,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-1_14xbin.11.LR_stool.fasta,14-1,0,0,Bacteroides uniformis,11,44,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_95x49.LR_stool.fasta,14-2,0,0,Bacteroides uniformis,11,44,6,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_N10_BAPxbin.4.SR_plate.fasta,17-1,0,0,Bacteroides uniformis,11,44,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-2_11xbin.37.LR_stool.fasta,17-2,0,0,Bacteroides uniformis,11,44,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_7x47-1_7_LKV_47-1_7_LKV.002.LR_plate.fasta,47-1,0,0,Bacteroides uniformis,11,44,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_7_LKVx47-2_7_LKV.003.SR_plate.fasta,47-2,0,0,Bacteroides uniformis,11,44,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
14-2_95x49.LR_stool.fasta,14-2,0.25,0,Bacteroides uniformis,11,44,9,6,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_7_LKVx47-2_7_LKV.003.SR_plate.fasta,47-2,0.25,1.166060139,Bacteroides uniformis,11,44,10,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_7x47-1_7_LKV_47-1_7_LKV.002.LR_plate.fasta,47-1,0.25,3.337541053,Bacteroides uniformis,11,44,10,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_7x47-1_7_LKV_47-1_7_LKV.002.LR_plate.fasta,47-1,0.5,25.86604369,Bacteroides uniformis,11,44,13,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-1_12x19-1_12.003.SR_stool.fasta,19-1,0,0,Bifidobacterium adolescentis,5,19,10,10,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-2_12x19-2_early__19-2_12.002.LR_stool.fasta,19-2,0,0,Bifidobacterium adolescentis,5,19,10,10,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-1_12x19-1_12.003.SR_stool.fasta,19-1,0.166666667,0,Bifidobacterium adolescentis,5,19,12,10,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
19-2_12x19-2_early__19-2_12.002.LR_stool.fasta,19-2,0.166666667,0,Bifidobacterium adolescentis,5,19,12,10,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_47xbin.90.LR_stool.fasta,20-2,0,0,Bifidobacterium bifidum,14,54,2,2,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-1_16x43_sub.LR_stool.fasta,43-1,0,0,Bifidobacterium bifidum,14,54,2,2,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-1_35_WCxbin.2.SR_plate.fasta,20-1,0,0,Bifidobacterium bifidum,14,54,5,5,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
20-2_22xbin.39_sub.SR_stool.fasta,20-2,0,0,Bifidobacterium bifidum,14,54,5,5,11,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_8_stoolx29-1_8_stool.012_sub.SR_stool.fasta,29-1,0,0,Bifidobacterium bifidum,14,54,6,6,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-1_93x40-1_late__40-1_93.026.LR_stool.fasta,40-1,0,0,Bifidobacterium bifidum,14,54,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
40-2_10xbin.21.LR_stool.fasta,40-2,0,0,Bifidobacterium bifidum,14,54,6,6,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_N15x43-2_N15.012.SR_stool.fasta,43-2,0,0,Bifidobacterium bifidum,14,54,7,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-1_N13x47-1_N13.005.SR_stool.fasta,47-1,0,0,Bifidobacterium bifidum,14,54,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
47-2_13x47-2_13.006.SR_stool.fasta,47-2,0,0,Bifidobacterium bifidum,14,54,7,7,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
17-1_36_stoolx17-1_36_stool.006.SR_stool.fasta,17-1,0,0,Bifidobacterium bifidum,14,54,13,13,13,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-2_14x29-2_early__29-2_14.004.LR_stool.fasta,29-2,0,0,Bifidobacterium bifidum,14,54,14,14,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
43-2_N15x43-2_N15.012.SR_stool.fasta,43-2,0.083333333,0,Bifidobacterium bifidum,14,54,8,7,12,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
29-1_8_stoolx29-1_8_stool.012_sub.SR_stool.fasta,29-1,0.166666667,0,Bifidobacterium bifidum,14,54,8,6,14,before,before,"01 Colonized before WN, timepoint before WN",04 Before weaning
