MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count,First_TP,TP2,LastMOL_lqfood,Initial_Colonization,Group
08-2_11x08-2_11.019_sub.SR_stool.fasta,2.083333333,17.548,11,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11x23.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x23.LR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x23.LR_stool.fasta,0.416666667,3.547,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11x51.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x51.SR_stool.fasta,0.25,3.242,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11x77.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x77.SR_stool.fasta,0.25,0,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11x80.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x80.SR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11x80.SR_stool.fasta,2.25,10.252,9,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11xbin.19_sub.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11xbin.19_sub.SR_stool.fasta,0.25,0,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11xbin.19_sub.SR_stool.fasta,2.083333333,1.19,11,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11xbin.19_sub.SR_stool.fasta,7,6.547,11,95,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_11xbin.7.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_11xbin.7.SR_stool.fasta,0.25,0,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_14x46.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_14x46.SR_stool.fasta,0.166666667,1.344,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_14xbin.16.LR_stool.fasta,0,0,14,14,11,After weaning,"Colonized after WN, timepoint after WN"
08-2_14xbin.16.LR_stool.fasta,1.833333333,9.09,14,36,11,After weaning,"Colonized after WN, timepoint after WN"
08-2_36_stoolx51.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_36_stoolx51.SR_stool.fasta,0.25,9.738,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_9.006.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_9.006.SR_stool.fasta,0.166666667,9.307,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_early__08-2_9.015.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_early__08-2_9.015.LR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_early__08-2_9.015.LR_stool.fasta,0.416666667,0,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x08-2_early__08-2_9.015.LR_stool.fasta,2.5,1.289,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_9x44.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x44.SR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9x44.SR_stool.fasta,0.416666667,0,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_9xbin.19.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_9xbin.19.LR_stool.fasta,0.666666667,12.805,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_9xbin.19.LR_stool.fasta,2.5,27.265,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,0.416666667,0.604,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,0.666666667,1.811,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,2.5,4.226,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_N6_LKVx08-2_N6_LKV.001.SR_plate.fasta,7.416666667,11.981,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_N6_LKVx08-2_N6_LKV.002.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6_LKVx08-2_N6_LKV.002.SR_plate.fasta,7.416666667,9.585,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
08-2_N6x08-2_early__08-2_N6.001.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6x08-2_early__08-2_N6.001.LR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6x08-2_N6.016.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6x08-2_N6.016.SR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6x17.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
08-2_N6x17.LR_stool.fasta,0.166666667,1.04,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11_stoolx14-1_11_stool.016.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11_stoolx14-1_11_stool.016.SR_stool.fasta,0.416666667,6.858,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x12.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x12.LR_stool.fasta,0.25,1.001,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x14-1_early__14-1_11.008.LR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x14-1_early__14-1_11.008.LR_stool.fasta,0.25,12.59,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_11x14-1_early__14-1_11.009_sub.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x14-1_early__14-1_11.009_sub.LR_stool.fasta,0.166666667,2.108,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_11x14-1_early__14-1_11.009_sub.LR_stool.fasta,0.416666667,13.456,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_14x20.LR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_14x20.LR_stool.fasta,0.25,1.517,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_14xbin.11.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_14xbin.11.LR_stool.fasta,0.666666667,0,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_14xbin.11.LR_stool.fasta,2.5,4.872,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_14xbin.11.LR_stool.fasta,7.416666667,8.346,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_36_stoolx14-1_36_stool.021.SR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_36_stoolx14-1_36_stool.021.SR_stool.fasta,4.916666667,7.9,36,95,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_36_stoolx14-1_36_stool.023.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_36_stoolx14-1_36_stool.023.SR_stool.fasta,0.25,0,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_36_stoolx14-1_36_stool.023.SR_stool.fasta,2.083333333,1.054,11,36,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_36x17.LR_stool.fasta,0,0,14,14,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_36x17.LR_stool.fasta,1.833333333,0,14,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_6_stoolx14-1_6_stool.013.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_stoolx14-1_6_stool.013.SR_stool.fasta,0.416666667,12.926,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_stoolx2.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_stoolx2.SR_stool.fasta,0.166666667,14.116,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_stoolx2.SR_stool.fasta,0.416666667,28.05,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_6_stoolxbin.2.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_stoolxbin.2.SR_stool.fasta,0.416666667,2.476,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_WCxbin.4.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6_WCxbin.4.SR_plate.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6x14-1_early__14-1_6.016.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6x14-1_early__14-1_6.016.LR_stool.fasta,7.416666667,5.865,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_6xbin.8.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6xbin.8.LR_stool.fasta,0.416666667,0,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_6xbin.8.LR_stool.fasta,0.666666667,0,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_6xbin.8.LR_stool.fasta,7.416666667,27.266,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_9_BAPx6.SR_plate.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_BAPx6.SR_plate.fasta,0.166666667,1.59,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolx14-1_9_stool.006.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolx14-1_9_stool.006.SR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolx14-1_9_stool.006.SR_stool.fasta,0.416666667,1.297,9,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_9_stoolxbin.3.SR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolxbin.3.SR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolxbin.7_sub.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_9_stoolxbin.7_sub.SR_stool.fasta,0.166666667,0.834,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_95x14-1_late__14-1_95.012.LR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_95x14-1_late__14-1_95.012.LR_stool.fasta,4.916666667,12.652,36,95,11,After weaning,"Colonized after WN, timepoint after WN"
14-1_N14_stoolx14-1_N14_stool.019.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_N14_stoolx14-1_N14_stool.019.SR_stool.fasta,0.25,5.324,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_N14_stoolx48.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_N14_stoolx48.SR_stool.fasta,0.25,3.334,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_N14_stoolxbin.26.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_N14_stoolxbin.26.SR_stool.fasta,0.25,6.342,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-1_N14_stoolxbin.32.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-1_N14_stoolxbin.32.SR_stool.fasta,0.25,19.207,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_11_stoolx14-2_11_stool.012_sub.SR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11_stoolx14-2_11_stool.012_sub.SR_stool.fasta,2.083333333,0,11,36,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_11x14-2_early__14-2_11.001.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11x14-2_early__14-2_11.001.LR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11x14-2_early__14-2_11.012.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11x14-2_early__14-2_11.012.LR_stool.fasta,0.166666667,1.774,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11x31.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_11x31.LR_stool.fasta,0.166666667,0.972,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14_LKVx21.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14_LKVx21.SR_plate.fasta,0.25,0.498,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14_LKVx21.SR_plate.fasta,0.666666667,0.99,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_14x14-2_late__14-2_14.004.LR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x14-2_late__14-2_14.004.LR_stool.fasta,0.166666667,10.429,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x19.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x19.LR_stool.fasta,0.25,6.349,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x19.LR_stool.fasta,0.416666667,11.784,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x28.LR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_14x28.LR_stool.fasta,0.25,2.405,11,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_36x14-2_late__14-2_36.009.LR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_36x14-2_late__14-2_36.009.LR_stool.fasta,4.916666667,1.249,36,95,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,0.25,15.781,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,0.416666667,25.204,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,2.5,39.135,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_36x14-2_late__14-2_36.018_sub.LR_stool.fasta,7.416666667,64.071,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_6_BAPx14-2_6_BAP.005.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_6_BAPx14-2_6_BAP.005.SR_plate.fasta,0.25,2.056,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_6_BAPx14-2_6_BAP.005.SR_plate.fasta,0.416666667,4.092,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_6_BAPxbin.7.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_6_BAPxbin.7.SR_plate.fasta,0.25,1.838,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_BAPx14-2_9_BAP.003.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_BAPx14-2_9_BAP.003.SR_plate.fasta,0.25,18.422,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_BAPx28_sub.SR_plate.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_BAPx28_sub.SR_plate.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_stoolx14-2_9_stool.020_sub.SR_stool.fasta,0,0,9,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_9_stoolx14-2_9_stool.020_sub.SR_stool.fasta,0.166666667,0,9,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95_BAPx14-2_95_BAP.003.SR_plate.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_95_BAPx14-2_95_BAP.003.SR_plate.fasta,4.916666667,2.5,36,95,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_95x14-2_late__14-2_95.050.LR_stool.fasta,0,0,11,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95x14-2_late__14-2_95.050.LR_stool.fasta,7,9.41,11,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_95x18.LR_stool.fasta,0,0,36,36,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_95x18.LR_stool.fasta,4.916666667,5.571,36,95,11,After weaning,"Colonized after WN, timepoint after WN"
14-2_95x49.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95x49.LR_stool.fasta,0.25,0,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95x49.LR_stool.fasta,0.666666667,0.703,6,14,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_95x49.LR_stool.fasta,2.5,2.087,6,36,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_95x49.LR_stool.fasta,7.416666667,5.549,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
14-2_95xbin.33.LR_stool.fasta,0,0,6,6,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95xbin.33.LR_stool.fasta,0.25,5.867,6,9,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95xbin.33.LR_stool.fasta,0.416666667,7.874,6,11,11,Before weaning,"Colonized before WN, timepoint before WN"
14-2_95xbin.33.LR_stool.fasta,7.416666667,13.205,6,95,11,Before weaning,"Colonized before WN, timepoint after WN"
17-1_10x17-1_early__17-1_10.001.LR_stool.fasta,0,0,10,10,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_10x17-1_early__17-1_10.001.LR_stool.fasta,0.25,1.268,10,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_10x17-1_early__17-1_10.001.LR_stool.fasta,0.5,7.674,10,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_10x17-1_early__17-1_10.020.LR_stool.fasta,0,0,10,10,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_10x17-1_early__17-1_10.020.LR_stool.fasta,0.25,0,10,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_10x17-1_early__17-1_10.020.LR_stool.fasta,0.5,0,10,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_13_LKVx17-1_13_LKV.001.SR_plate.fasta,0,0,6,6,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13_LKVx17-1_13_LKV.001.SR_plate.fasta,0.333333333,8.693,6,10,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13_LKVx17-1_13_LKV.001.SR_plate.fasta,7.583333333,13.38,6,97,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_13_stoolx17-1_13_stool.014_sub.SR_stool.fasta,0,0,13,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13_stoolx17-1_13_stool.014_sub.SR_stool.fasta,0.25,0,13,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_13_stoolxbin.40_sub.SR_stool.fasta,0,0,13,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13_stoolxbin.40_sub.SR_stool.fasta,0.25,0,13,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_13x17-1_13_WC_17-1_13_WC.004.LR_plate.fasta,0,0,6,6,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13x17-1_13_WC_17-1_13_WC.004.LR_plate.fasta,0.333333333,0,6,10,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_13x17-1_13_WC_17-1_13_WC.004.LR_plate.fasta,0.583333333,3.645,6,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_16_stoolx17-1_16_stool.026_sub.SR_stool.fasta,0,0,13,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_16_stoolx17-1_16_stool.026_sub.SR_stool.fasta,0.25,2.296,13,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_16_WCx17-1_16_WC.001.SR_plate.fasta,0,0,6,6,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_16_WCx17-1_16_WC.001.SR_plate.fasta,0.583333333,21.466,6,13,13,Before weaning,"Colonized before WN, timepoint before WN"
17-1_16_WCx17-1_16_WC.001.SR_plate.fasta,0.833333333,22.807,6,16,13,Before weaning,"Colonized before WN, timepoint after WN"
17-1_16x17-1_late__17-1_16.017.LR_stool.fasta,0,0,16,16,13,After weaning,"Colonized after WN, timepoint after WN"
17-1_16x17-1_late__17-1_16.017.LR_stool.fasta,6.75,7.015,16,97,13,After weaning,"Colonized after WN, timepoint after WN"
17-1_16x64.LR_stool.fasta,0,0,16,16,13,After weaning,"Colonized after WN, timepoint after WN"
17-1_16x64.LR_stool.fasta,1.666666667,2.015,16,36,13,After weaning,"Colonized after WN, timepoint after WN"
17-1_16x64.LR_stool.fasta,6.75,6.554,16,97,13,After weaning,"Colonized after WN, timepoint after WN"
