Sample	method	HQ	# >MQ MAGS	>MQ length	#contigs	>MQ N50
40-2_10	mSpades_highcov	8	20	60209088	91	354532
40-2_16	mSpades_highcov	6	19	57598937	57	886595
40-2_35	mSpades_highcov	6	16	45238839	97	733145
40-2_94	mSpades_highcov	5	12	30598595	103	543035
47-1_7	mSpades_cmb	5	20	57694402	306	244816
47-1_10	mSpades_cmb	5	24	60962541	133	310609
47-1_17	mSpades_cmb	0	6	14916136	59	125368
47-1_37	mSpades_cmb	4	28	78044728	106	387599
47-1_88	mSpades_cmb	0	18	48729469	74	384639
40-2_6	mSpades_cmb	6	17	49757366	82	404583
40-2_10	mSpades_cmb	9	22	67377023	104	375438
40-2_16	mSpades_cmb	6	20	59986572	61	769608
40-2_35	mSpades_cmb	4	17	44317057	92	622845
40-2_94	mSpades_cmb	4	15	38310885	89	587384
47-1_7	mSpadesNanopore_alignedFracs	5	21	60557461	229	166191
47-1_10	mSpadesNanopore_alignedFracs	7	21	54418660	104	310473
47-1_17	mSpadesNanopore_alignedFracs	3	12	30837828	100	94817
47-1_37	mSpadesNanopore_alignedFracs	20	42	114614640	158	116367
47-1_88	mSpadesNanopore_alignedFracs	6	26	68016816	113	73618
40-2_6	mSpadesNanopore_alignedFracs	4	20	54050910	128	180960
40-2_10	mSpadesNanopore_alignedFracs	6	22	62446789	96	216030
40-2_16	mSpadesNanopore_alignedFracs	10	26	80720551	103	217911
40-2_35	mSpadesNanopore_alignedFracs	13	26	75702585	106	179331
40-2_94	mSpadesNanopore_alignedFracs	5	19	45175776	126	128602
47-1_7	mSpadesNanopore_highcov	3	16	47601982	256	360458
47-1_10	mSpadesNanopore_highcov	7	20	49785041	108	370520
47-1_17	mSpadesNanopore_highcov	1	6	15474158	112	102723
47-1_37	mSpadesNanopore_highcov	6	25	66206188	133	238753
47-1_88	mSpadesNanopore_highcov	0	14	38238933	82	157352
40-2_6	mSpadesNanopore_highcov	4	16	43377130	80	238720
40-2_10	mSpadesNanopore_highcov	7	20	62979203	62	337258
40-2_16	mSpadesNanopore_highcov	5	21	64465103	88	529965
40-2_35	mSpadesNanopore_highcov	4	22	64288599	91	296406
40-2_94	mSpadesNanopore_highcov	2	19	43558734	114	290356
47-1_7	mSpadesNanopore_cmb	4	16	39506083	221	315006
47-1_10	mSpadesNanopore_cmb	5	17	46791454	117	421427
47-1_17	mSpadesNanopore_cmb	0	7	14916169	77	143951
47-1_37	mSpadesNanopore_cmb	6	25	66054360	103	256463
47-1_88	mSpadesNanopore_cmb	1	14	35358233	92	132411
40-2_6	mSpadesNanopore_cmb	3	18	47259301	84	203083
40-2_10	mSpadesNanopore_cmb	5	21	64438798	108	206541
40-2_16	mSpadesNanopore_cmb	6	23	72361003	89	541168
40-2_35	mSpadesNanopore_cmb	5	21	56197940	119	306184
40-2_94	mSpadesNanopore_cmb	3	16	36188801	135	211524
47-1_7	mSpades_mFlye	6	27	80879858	166	487405
47-1_10	mSpades_mFlye	7	27	69317010	80	509176
47-1_17	mSpades_mFlye	0	23	77223033	37	634031
47-1_37	mSpades_mFlye	6	35	91715854	89	397541
47-1_88	mSpades_mFlye	3	32	94714712	41	368608
40-2_6	mSpades_mFlye	7	25	73443293	42	783679
40-2_10	mSpades_mFlye	9	23	71832868	55	477987
40-2_16	mSpades_mFlye	5	29	82414724	24	643453
40-2_35	mSpades_mFlye	9	29	80564076	56	931823
40-2_94	mSpades_mFlye	6	28	82014323	78	972042
47-1_7	mSpadesNanopore_mFlye	6	24	60253365	163	499337
47-1_10	mSpadesNanopore_mFlye	6	22	56532747	84	596874
47-1_17	mSpadesNanopore_mFlye	5	18	50948728	38	656021
47-1_37	mSpadesNanopore_mFlye	7	34	87919634	126	296254
47-1_88	mSpadesNanopore_mFlye	1	23	69119660	43	503074
40-2_6	mSpadesNanopore_mFlye	4	25	70788162	84	641375
40-2_10	mSpadesNanopore_mFlye	6	26	77620158	59	412071
40-2_16	mSpadesNanopore_mFlye	8	31	96692702	69	476560
40-2_35	mSpadesNanopore_mFlye	8	27	71574608	77	702786
40-2_94	mSpadesNanopore_mFlye	5	28	72010291	93	773626
40-2_6	OPERA-MS	2	6		73.5	746107.6667
40-2_10	OPERA-MS	4	5		41.4	1081562.6
40-2_13	OPERA-MS	4	5		16.2	1419767
40-2_16	OPERA-MS	7	9		39	896272.5556
40-2_94	OPERA-MS	2	5		56.6	716890.4
47-1_7	OPERA-MS	0	4		164	592528.5
47-1_10	OPERA-MS	4	9		37	568276.6667
47-1_17	OPERA-MS	2	4		30.25	406714
47-1_88	OPERA-MS	2	2		8.5	1951955
